city,state_code,total,virus,virus_p
Old Bridge Township,NJ,2693,2075,0.771
Lawrence Township,NJ,4089,1543,0.377
Lawrence Township,NJ,2755,1686,0.612
Auburn,WA,7732,3065,0.396
Leawood,MO,9654,2763,0.286
Jackson Township,NJ,9478,2594,0.274
Leisure Village West,NJ,6174,2958,0.479
Lakewood Township,NJ,4448,340,0.076
Lakewood Township,NJ,4714,1269,0.269
Southampton Township,NJ,2525,597,0.236
Lemmon Valley-Golden Valley,NV,2212,524,0.237
Tinicum Township,PA,5633,2096,0.372
Bedford charter Township,MI,4797,2372,0.494
Lewis and Clark Village,MO,770,360,0.468
Linthicum Heights,MD,8478,6702,0.791
Bristow,VA,3824,847,0.221
Town of Lisbon,WI,4525,1058,0.234
Cottonwood Heights,UT,8071,6857,0.850
Gorham,ME,1504,581,0.386
Littleton,MA,1570,1238,0.789
Byram Township,NJ,6817,476,0.070
Calvert Beach-Long Beach,MD,4128,2263,0.548
Trumbull,CT,3531,900,0.255
Stewartsville,NJ,8993,4820,0.536
Stonington,CT,8273,6088,0.736
Los Chavez,NM,1683,1157,0.687
Apple Valley,CA,3329,2976,0.894
Los Trujillos-Gabaldon,NM,6453,3416,0.529
Ashburn,VA,9514,2697,0.283
Long Beach Township,NJ,9150,6726,0.735
Enfield,NH,15,6,0.400
Lutherville-Timonium,MD,9204,1745,0.190
Lyon Charter Township,MI,3021,1131,0.374
Camano,WA,2752,878,0.319
Mack,OH,7943,3218,0.405
Mackenzie,MO,9346,566,0.061
Bonadelle Ranchos-Madera Ranchos,CA,4464,1256,0.281
Madison,CT,5175,649,0.125
Old Bridge Township,NJ,6215,3571,0.575
Mākaha,HI,3039,2524,0.831
Manalapan Township,NJ,2563,660,0.258
Manchester,NH,4530,2942,0.649
New York,NY,7786,1011,0.130
Manteca,CA,5968,256,0.043
Maple Shade Township,NJ,9774,5411,0.554
Pennfield Charter Township,MI,4204,3821,0.909
Watervliet,NY,5344,2963,0.554
Lakeside Marblehead,OH,242,41,0.169
Marietta-Alderwood,WA,8572,1393,0.163
Lucas Valley-Marinwood,CA,3353,3001,0.895
Marion,MA,9190,4684,0.510
Evesham Township,NJ,4035,2298,0.570
Salt Lake City,UT,5407,3967,0.734
Roanoke,TX,5783,2117,0.366
Skaneateles Falls,NY,3047,1004,0.330
Mashpee,MA,1195,646,0.541
Wilmington,NC,5031,1712,0.340
Matlacha Isles-Matlacha Shores,FL,6304,1003,0.159
Clifton,NJ,6918,2787,0.403
Montgomery,AL,2461,2254,0.916
Stafford Township,NJ,7359,3429,0.466
Lutherville-Timonium,MD,2129,60,0.028
Anniston,AL,6796,544,0.080
Hamilton Township,NJ,9133,506,0.055
McRae-Helena,GA,4950,3726,0.753
Snelling,CA,8838,1757,0.199
Thompson,CT,391,143,0.366
Tabernacle,NJ,771,587,0.761
Augusta,GA,8418,638,0.076
Godfrey,IL,7937,1512,0.191
Portsmouth,RI,7956,1504,0.189
Hamilton Township,NJ,1282,550,0.429
Fishkill,NY,6962,3863,0.555
Mesa Del Caballo,AZ,9790,1540,0.157
Brick Township,NJ,430,289,0.672
Methuen,MA,1203,460,0.382
Middleborough,MA,4954,1507,0.304
Middleburg,FL,9314,3751,0.403
Franklin Township,NJ,5080,987,0.194
Middlesboro,KY,8180,58,0.007
Caledonia Township,MI,6955,4961,0.713
Harriman,TN,3357,285,0.085
Mililani,HI,1896,983,0.518
Mililani,HI,5724,2224,0.389
Mineral Wells,WV,7865,5906,0.751
Heritage Creek,KY,2316,2225,0.961
Westerly,RI,6085,4064,0.668
Riverside,MI,5800,4038,0.696
Verdi,NV,2684,545,0.203
Monarch Mill,SC,9116,1010,0.111
Middletown,NJ,8359,6380,0.763
Mashpee,MA,3091,2697,0.873
Monroe Township,NJ,3043,2556,0.840
Monson,MA,2021,1056,0.523
Montrose,PA,780,442,0.567
Fairlawn,OH,5314,2905,0.547
Warren,OH,9798,5843,0.596
Casa de Oro-Mount Helix,CA,5176,2850,0.551
Birmingham,AL,508,431,0.848
Blooming Grove,NY,8366,4540,0.543
Monroeville,PA,1472,243,0.165
Murrysville,PA,5703,4338,0.761
Nurillo,TX,7926,661,0.083
Murphy Village,SC,683,149,0.218
Murrayville,NC,74,35,0.473
Murrieta,CA,2493,2121,0.851
Little Egg Harbor Township,NJ,8094,1634,0.202
Nānākuli,HI,853,683,0.801
North Naples,FL,3958,2316,0.585
Annapolis,MD,5356,4554,0.850
Bangor Trident Base,WA,5519,579,0.105
Pensacola Beach,FL,6770,4856,0.717
Auburn,ME,1403,1269,0.904
New Hanover Township,NJ,3090,1069,0.346
New Hartford,CT,3661,1672,0.457
New Hope,PA,5109,1643,0.322
Lenox,MA,2298,2107,0.917
Mashpee,MA,3111,2243,0.721
Sugar Land,TX,3396,2303,0.678
Louisville,KY,7043,5923,0.841
Asheville,NC,890,525,0.590
Groton,CT,6372,3577,0.561
Miami Gardens,FL,9827,5798,0.590
Miami Beach,FL,5652,4036,0.714
San Ramon,CA,7058,1050,0.149
Ballston Spa,NY,261,50,0.192
Long Beach Township,NJ,4873,942,0.193
Long Beach Township,NJ,2599,939,0.361
Bellmore,NY,9278,5654,0.609
Chevy Chase,MD,2828,1412,0.499
North De Land,FL,5874,1805,0.307
Sacramento,CA,5256,2461,0.468
Gates-North Gates,NY,8440,1474,0.175
Thompson,CT,9396,1045,0.111
Harwich,MA,8380,1882,0.225
Hobbs,NM,8867,2516,0.284
Manlius,NY,4960,2063,0.416
Keansburg,NJ,6074,5849,0.963
Plymouth,MA,1404,1257,0.895
Amarillo,TX,7331,3166,0.432
Seekonk,MA,9772,2591,0.265
Shirley,MA,2222,51,0.023
Silver Summit,UT,7093,3501,0.494
North Saint Paul,MN,9884,1019,0.103
Keene,NH,4344,833,0.192
Vacherie,LA,4305,233,0.054
Wantagh,NY,5391,2013,0.373
Westminster,VT,6047,4760,0.787
Westport,MA,7142,3303,0.462
Windham,ME,5426,5133,0.946
Woodbridge,CA,6343,4348,0.685
Charlton,MA,3304,1031,0.312
Plainfield charter Township,MI,9821,4774,0.486
Shanor-Northvue,PA,7292,5057,0.693
Harwich,MA,1354,63,0.047
Midland,MI,4710,4573,0.971
Norton,MA,3456,2706,0.783
Baton Rouge,LA,8945,8766,0.980
Oak Park,IL,3309,2198,0.664
Deptford Township,NJ,3982,2050,0.515
Oak Island,NC,3217,556,0.173
Pittsburgh,PA,5204,4272,0.821
Elsinboro,NJ,4984,1294,0.260
Syracuse,IN,6734,4384,0.651
Barnegat Township,NJ,2369,1344,0.567
Ocean Breeze,FL,8081,712,0.088
Swansea,MA,2283,1119,0.490
Louisville,KY,9759,6005,0.615
Bennington,VT,8678,4024,0.464
Old Saybrook,CT,1253,392,0.313
Pittsgrove Township,NJ,580,99,0.171
Koloa,HI,3053,1647,0.539
Austin,TX,5867,4792,0.817
Santa Cruz,CA,5151,34,0.007
Opa-locka,FL,9052,6159,0.680
Spokane Valley,WA,7150,4568,0.639
Summerfield,FL,4748,3290,0.693
Chula Vista-Orason,TX,8547,2065,0.242
Riviera Beach,MD,7071,1928,0.273
Orion charter Township,MI,8050,6906,0.858
Brick Township,NJ,3355,2813,0.838
Perrysburg,OH,3252,2131,0.655
Bluffton,SC,9660,9582,0.992
Allamuchy Township,NJ,8557,834,0.097
Wichita,KS,3860,775,0.201
Paramount-Long Meadow,MD,7527,2798,0.372
Columbia,SC,2431,1994,0.820
Landmark,AR,915,154,0.168
Little Egg Harbor Township,NJ,1739,452,0.260
Sacramento,CA,3683,799,0.217
New Roads,LA,2204,1089,0.494
Coloma,MI,8900,3761,0.423
Pace,FL,2631,1910,0.726
Clay Township,MI,7018,6174,0.880
Pekin,IL,8778,8230,0.938
North Naples,FL,5007,2382,0.476
Greenwich,CT,9601,4519,0.471
Wynnewood,PA,2221,1685,0.759
Pepper Mill Village,MD,380,132,0.347
Clay Township,MI,6146,774,0.126
Pere Marquette Charter Township,MI,8015,3798,0.474
Abram-Perezville,TX,8721,1749,0.201
Reynoldsburg,OH,9254,194,0.021
Picnic Point-North Lynnwood,WA,6534,4432,0.678
Goffstown,NH,9011,5760,0.639
Ridgewood,CA,4449,1665,0.374
Leisure Village West,NJ,4135,1196,0.289
Scarborough,ME,4050,3665,0.905
Manchester Township,NJ,1371,1001,0.730
Bonner-West Riverside,MT,956,496,0.519
Pinetop-Lakeside,AZ,2525,2512,0.995
Woodhull,IL,242,31,0.128
Pittsfield Charter Township,MI,5522,1445,0.262
Pleasant Garden,NC,4035,1021,0.253
Pleasant View,TN,89,78,0.876
Louisville,KY,7146,908,0.127
Plymouth Charter Township,MI,8767,639,0.073
Saint Matthews,KY,7256,1184,0.163
Milford,PA,4634,3602,0.777
Fort Dix,NJ,4663,1935,0.415
Koloa,HI,942,32,0.034
Pope Field,NC,1013,607,0.599
Poplar-Cotton Center,CA,2739,2024,0.739
Preston,CT,5306,522,0.098
Groton,CT,155,94,0.606
Washington,NJ,4105,665,0.162
Roxbury Township,NJ,2164,27,0.012
Port St. Joe,FL,7675,1979,0.258
Port Saint John,FL,3532,412,0.117
Port St. Lucie,FL,6511,5523,0.848
Lake Forest,CA,8015,3540,0.442
Portsmouth charter Township,MI,9039,6578,0.728
Boonton Township,NJ,7912,283,0.036
Utica,IN,6640,2300,0.346
Presquile,LA,6634,767,0.116
West Windsor Township,NJ,5405,575,0.106
Princeton,NJ,4916,2335,0.475
Pryor,OK,4627,1642,0.355
San Antonio,TX,9236,2388,0.259
Golf,FL,6576,4002,0.609
Menifee,CA,7915,1787,0.226
Quantico,VA,4537,4379,0.965
Mount Laurel Township,NJ,5301,474,0.089
Howell Township,NJ,9424,8317,0.883
Encantada-Ranchito El Calaboz,TX,5227,62,0.012
Nassau Village-Ratliff,FL,6072,2624,0.432
Lafayette,CA,6745,694,0.103
Celina,TX,663,239,0.360
Auburn,AL,4550,3322,0.730
Corryton,TN,5336,4287,0.803
Orlando,FL,9434,630,0.067
Rising Sun-Lebanon,DE,5445,3629,0.666
Atlanta,GA,9513,8323,0.875
Billerica,MA,4222,1558,0.369
Belcamp,MD,1435,1111,0.774
Hudson,OH,9571,8346,0.872
Robbinsville Township,NJ,1346,590,0.438
Marlboro Township,NJ,6082,27,0.004
Buena Vista charter Township,MI,5259,879,0.167
Butte,MT,3478,1158,0.333
Vernon,CT,6430,3422,0.532
Menifee,CA,7815,5675,0.726
Bakersfield,CA,4529,1998,0.441
Newark,NJ,1743,1003,0.575
Rosita South,TX,6972,3937,0.565
Leisure World,MD,4817,3814,0.792
Monroe Township,NJ,78,52,0.667
Rotonda West,FL,354,177,0.500
Hagerstown,MD,6258,2028,0.324
Riverside,CA,6406,5154,0.805
South Charleston,WV,8147,5655,0.694
Saginaw,MI,1004,962,0.958
Saint Clairsville,OH,4418,1883,0.426
New Salem Borough,PA,8353,5724,0.685
Valparaiso,IN,9343,7820,0.837
Salunga-Landisville,PA,4312,1791,0.415
Ramona,CA,5617,5156,0.918
Camarillo,CA,2036,1801,0.885
Simi Valley,CA,5696,3579,0.628
Sarver,PA,9051,3318,0.367
Sault Ste. Marie,MI,5939,142,0.024
El Segundo,CA,84,8,0.095
Old Saybrook,CT,489,3,0.006
North Laurel,MD,1420,669,0.471
San Antonio,TX,1019,539,0.529
Miami Gardens,FL,1831,867,0.474
Daytona Beach,FL,9628,9441,0.981
Seabrook,NH,4523,592,0.131
Upper Deerfield Township,NJ,6970,2409,0.346
Wilmington,NC,4651,148,0.032
Mashpee,MA,7453,60,0.008
Security-Widefield,CO,2672,2529,0.946
Wildomar,CA,59,27,0.458
Selmont-West Selmont,AL,2932,60,0.020
Setauket- East Setauket,NY,4004,3042,0.760
San Jose,CA,1155,159,0.138
Modesto,CA,8054,7200,0.894
Chattanooga,TN,2998,43,0.014
Enfield,CT,8617,3594,0.417
Thomas Township,MI,6686,3057,0.457
Shinnecock Hills,NY,4193,4072,0.971
Brick Township,NJ,6381,5732,0.898
Southern Shops,SC,982,572,0.582
Snohomish,WA,1819,544,0.299
Helendale,CA,3257,2907,0.893
Leisure Village West,NJ,6836,6613,0.967
Napa,CA,3171,2079,0.656
Franklin Township,NJ,5560,4657,0.838
Globe,AZ,4487,192,0.043
Woodside,CA,8709,5674,0.652
San Anselmo,CA,357,27,0.076
Dartmouth,MA,1667,1466,0.879
Smiths Station,AL,6485,1649,0.254
Galloway,NJ,5454,3605,0.661
Piscataway,NJ,544,93,0.171
Tabernacle,NJ,5633,4367,0.775
Amherst,MA,2065,304,0.147
Ashburnham,MA,134,61,0.455
Miami Beach,FL,1029,717,0.697
Waco,TX,1760,1025,0.582
South Brunswick Township,NJ,5728,368,0.064
Charlton,MA,2219,633,0.285
Dade City,FL,1760,91,0.052
Coventry,CT,4479,4349,0.971
Duxbury,MA,5277,1544,0.293
Galloway,NJ,3488,1101,0.316
Eliot,ME,7880,5051,0.641
Glen Burnie,MD,2204,1335,0.606
South Cheyenne,WY,9660,179,0.019
Highpoint,FL,925,77,0.083
Hooksett,NH,2388,1544,0.647
Kingston,NH,5731,1194,0.208
Lebanon,ME,1673,1249,0.747
Middletown,OH,2252,1391,0.618
Monroe Charter Township,MI,8119,5014,0.618
Monrovia,CA,4704,591,0.126
South Park Township,PA,8624,1970,0.228
Peru,IN,2486,1440,0.579
South San Gabriel,CA,9794,1999,0.204
South San Jose Hills,CA,9356,3827,0.409
Sanford,ME,1374,7,0.005
South Sarasota,FL,67,24,0.358
Shaftsbury,VT,5696,591,0.104
Snyderville,UT,9245,3616,0.391
South Saint Paul,MN,8521,8390,0.985
South Sumter,SC,5031,1116,0.222
Sutton,MA,5334,2975,0.558
Temple,PA,5174,2271,0.439
Woodbridge,CA,9620,6195,0.644
Southeast Arcadia,FL,4234,2493,0.589
Southmont,PA,3586,856,0.239
Enfield,CT,2277,644,0.283
Speers,PA,7499,2572,0.343
Eagleswood,NJ,5701,2652,0.465
Spring Hill,FL,2721,510,0.187
Spring Lake,NJ,8711,5946,0.683
Andover Township,NJ,2119,1333,0.629
Springfield,MI,9777,5540,0.567
Saint Matthews,KY,3384,1690,0.499
Saint Albans City,VT,9123,3471,0.380
Saint Albans,WV,4745,4195,0.884
Saint Andrews,SC,3471,1233,0.355
Saint Ann,MO,4075,1840,0.452
Saint Anthony,ID,5057,3138,0.621
Saint Anthony,MN,1563,343,0.219
Saint Augusta,MN,2845,673,0.237
St. Augustine Beach,FL,1677,387,0.231
Saint Augustine Shores,FL,6807,3960,0.582
Saint Augustine South,FL,8236,581,0.071
St. Augustine,FL,6590,4675,0.709
Saint Bernard,OH,1883,502,0.267
Saint Bonaventure,NY,5680,876,0.154
Saint Bonifacius,MN,1040,738,0.710
Saint Charles,MD,1354,830,0.613
Saint Charles,MN,5744,2875,0.501
Saint Charles,MO,6162,6022,0.977
St. Clair Shores,MI,921,524,0.569
Saint Clair,MI,4899,3730,0.761
Saint Clair,MO,1828,148,0.081
Saint Clair,PA,2710,1247,0.460
Saint Clairsville,OH,7487,1964,0.262
St. Cloud,FL,8523,7540,0.885
St. Cloud,MN,7024,2770,0.394
Louisville,KY,2952,743,0.252
Saint Francis,MN,415,370,0.892
Saint Francis,WI,7946,114,0.014
Saint Gabriel,LA,8277,6588,0.796
St. George,UT,816,131,0.161
Richfield Township,MI,1895,546,0.288
St. Helena,CA,5478,3627,0.662
St. Helens,OR,2600,884,0.340
St. Ignace,MI,1504,1422,0.945
Saint James,MD,5222,2062,0.395
Saint James,MN,2129,2019,0.948
Saint James,MO,9179,5399,0.588
Saint James,NC,991,749,0.756
Saint James,NY,187,20,0.107
Saint John,IN,765,387,0.506
Saint John,MO,4189,1061,0.253
Saint Johns,AZ,4734,854,0.180
Saint Johns,MI,293,205,0.700
Saint Johnsbury,VT,1542,878,0.569
Saint Joseph,IL,7659,4297,0.561
St. Joseph,MI,1032,593,0.575
Saint Joseph,MN,3494,681,0.195
Saint Joseph,MO,4655,1794,0.385
Saint Lawrence,PA,308,279,0.906
Saint Leo,FL,2324,995,0.428
Saint Leonard,MD,8215,6178,0.752
St. Louis Park,MN,6074,5916,0.974
St. Louis,MI,8784,7237,0.824
St. Louis,MO,1085,562,0.518
Saint Louisville,OH,8417,7664,0.911
Saint Lucie,FL,5807,768,0.132
Saint Maries,ID,1145,761,0.665
Saint Martin,MS,4827,1678,0.348
Saint Martins,MO,338,93,0.275
Saint Martinville,LA,5026,3358,0.668
Saint Marys City,MD,5443,5319,0.977
Saint Marys Point,MN,9109,9012,0.989
St. Marys,GA,1271,402,0.316
Saint Marys,KS,6089,1054,0.173
Saint Marys,OH,9445,4183,0.443
Saint Marys,PA,1533,1215,0.793
Saint Marys,WV,3751,1176,0.314
Saint Matthews,KY,3492,1124,0.322
Saint Michael,MN,4221,2797,0.663
Saint Michaels,AZ,345,23,0.067
Saint Paul Park,MN,616,442,0.718
Saint Paul,MN,7463,5210,0.698
Saint Paul,MO,1527,22,0.014
Saint Paul,TX,3003,2645,0.881
St. Pete Beach,FL,4304,2199,0.511
Saint Peter,MN,5087,404,0.079
St. Peters,MO,3103,60,0.019
St. Petersburg,FL,4334,1176,0.271
Saint Regis Park,KY,864,815,0.943
Saint Robert,MO,7874,5191,0.659
Saint Rose,LA,5146,1295,0.252
St. Simons,GA,3530,1527,0.433
Saint Stephens,NC,2950,2893,0.981
Franklin,NJ,3322,2523,0.759
Starbrick,PA,1091,362,0.332
Ste. Genevieve,MO,4048,602,0.149
Stewart Manor,NY,8627,4753,0.551
Atlanta,GA,2221,2029,0.914
Stony Creek Mills,PA,9881,5863,0.593
Mansfield,CT,8627,7876,0.913
Stowe,PA,5735,2324,0.405
Matawan,NJ,2421,296,0.122
Lexington,KY,2510,2300,0.916
Township of Sumpter,MI,4780,144,0.030
Fresno,CA,8070,3020,0.374
Sunnyside,GA,6551,4939,0.754
Johnsburg,IL,6196,5905,0.953
San Jose,CA,3446,1904,0.553
Irving,NY,8214,7253,0.883
Cheat Lake,WV,104,95,0.913
Sunset,UT,336,289,0.860
Portage charter Township,MI,7374,2283,0.310
Superior,WI,2682,2379,0.887
Superior,CO,9167,4700,0.513
Los Angeles,CA,633,523,0.826
Susquehanna,PA,1270,492,0.387
Talahi Island,GA,1866,949,0.509
Tamalpais-Homestead Valley,CA,8487,384,0.045
Falmouth,MA,5231,1693,0.324
Tega Cay,SC,8117,7011,0.864
Tellico Village,TN,2583,1529,0.592
Temelec,CA,1952,556,0.285
Temple Terrace,FL,1285,863,0.672
Terrace Bay,ON,1902,662,0.348
Marlborough,CT,9502,6402,0.674
Texas charter Township,MI,4451,2587,0.581
The Meadows,FL,6426,850,0.132
Plymouth,MA,6599,2841,0.431
The Pinery,CO,6169,2462,0.399
Indian Hill,OH,8191,6128,0.748
Thomas Township,MI,8493,2195,0.258
Thomaston,NY,2305,840,0.364
Hamilton Township,NJ,9984,9883,0.990
Fort Wayne,IN,6176,5334,0.864
Tiburon,CA,383,18,0.047
Tiger Point,FL,1059,789,0.745
Timberwood Park,TX,6295,6200,0.985
Topanga,CA,491,320,0.652
Topanga,CA,8664,7342,0.847
Topsail Beach,NC,2464,1941,0.788
Town Line,NY,6615,14,0.002
Forney,TX,3717,1125,0.303
Spokane Valley,WA,6015,5943,0.988
Marquette,MI,1143,895,0.783
Parsippany-Troy Hills,NJ,5778,2986,0.517
Knoxville,TN,2220,2160,0.973
Washington Township,NJ,9855,9401,0.954
Cincinnati,OH,8503,6098,0.717
Twentynine Palms,CA,6861,2989,0.436
Mammoth Lakes,CA,6547,4116,0.629
Green Bay,VA,6247,4874,0.780
East Windsor,NJ,1380,1146,0.830
Tyler Run-Queens Gate,PA,8591,6304,0.734
Tyndall Air Force Base,FL,1794,345,0.192
Tysons,VA,8844,7292,0.825
Union Gap,WA,3214,2131,0.663
Los Angeles,CA,8655,4641,0.536
Lopatcong,NJ,5464,2384,0.436
Unionville,GA,3467,583,0.168
University Park,TX,3222,2905,0.902
Tornado,WV,7187,4463,0.621
West Milford,NJ,4833,640,0.132
Upper Saddle River,NJ,4370,870,0.199
Upper Saint Clair,PA,2356,2201,0.934
Stewartsville,NJ,729,214,0.294
Vadnais Heights,MN,3260,2869,0.880
Los Angeles,CA,1797,938,0.522
Valley Green,PA,388,44,0.113
Louisville,KY,1173,740,0.631
Jackson Township,NJ,7477,1348,0.180
Summit Township,MI,4378,1136,0.259
Ventnor City,NJ,2324,1593,0.685
Cottonwood-Verde Village,AZ,330,170,0.515
Centerville,LA,5004,1527,0.305
Monroe Township,NJ,7583,3092,0.408
Lewiston,MI,9651,7356,0.762
Rockledge,FL,8406,7312,0.870
Clarkston,MI,4630,3703,0.800
Baton Rouge,LA,6961,4300,0.618
Vilano Beach,FL,7717,4206,0.545
Southampton Township,NJ,1844,1259,0.683
Vinita Park,MO,6291,3719,0.591
Texas City,TX,8431,3570,0.423
Cave Creek,AZ,908,157,0.173
Waipahu,HI,7975,3482,0.437
Wailea-Makena,HI,4155,690,0.166
Wainaku,HI,1978,861,0.435
Hamilton Township,NJ,6563,580,0.088
Wall Township,NJ,1669,627,0.376
Walterhill,TN,9109,4393,0.482
Walton Hills,OH,2819,215,0.076
Walton Park,NY,38,17,0.447
Fremont,CA,6429,130,0.020
Warminster,PA,6792,3905,0.575
Warren Air Force Base,WY,3885,1436,0.370
New York,NY,8530,6196,0.726
Westerly,RI,8953,7610,0.850
Hollywood,FL,8357,6478,0.775
Water Mill,NY,8600,4319,0.502
Waterville,ME,1625,224,0.138
Waverly,OH,7566,1674,0.221
Delta charter Township,MI,2167,905,0.418
Fort Wayne,IN,4045,1996,0.493
Sabattus,ME,4695,3329,0.709
Plano,TX,5322,815,0.153
Weigelstown,PA,8868,4634,0.523
Laconia,NH,5513,1766,0.320
Atco,NJ,4672,1651,0.353
Bainbridge,GA,1772,1598,0.902
Belmar,NJ,5038,1431,0.284
Berlin,VT,9547,5958,0.624
West Carrollton,OH,8404,7725,0.919
West Clarkston-Highland,WA,6862,5099,0.743
Haddon Township,NJ,9307,763,0.082
Concord,MA,5379,556,0.103
West De Land,FL,2157,2127,0.986
Dudley,MA,6965,5363,0.770
West End-Cobb Town,AL,2539,712,0.280
Epping,NH,5207,1279,0.246
Freehold Township,NJ,2492,1889,0.758
Queensbury,NY,5478,4219,0.770
Goshen,CA,8772,2335,0.266
West Haven-Sylvan,OR,663,623,0.940
Bellevue,WA,3413,437,0.128
West Lake Stevens,WA,4360,556,0.128
Pinellas Park,FL,2726,1560,0.572
Monroe Charter Township,MI,2137,2007,0.939
Pearsall,TX,2934,218,0.074
Pelham,MA,4606,2443,0.530
West Pleasant View,CO,3998,2565,0.642
West Rancho Dominguez,CA,6542,2807,0.429
West Saint Paul,MN,1936,796,0.411
West Whittier-Los Nietos,CA,886,850,0.959
Taylorsville,UT,6563,1738,0.265
Westbrook,CT,4558,3620,0.794
Haddon Township,NJ,8662,7267,0.839
Manville,NJ,3421,3073,0.898
Trinity,TX,6133,2342,0.382
Kalamazoo Township,MI,4764,125,0.026
Pittsburgh,PA,1788,1435,0.803
Wareham,MA,548,52,0.095
Wheaton-Glenmont,MD,1347,492,0.365
Louisville,KY,1149,425,0.370
Hamilton Township,NJ,5174,4298,0.831
Wareham,MA,9253,1875,0.203
Rockaway,NJ,6735,4234,0.629
Cincinnati,OH,6883,5894,0.856
White Oak,OH,4572,3204,0.701
Whitfield,FL,2145,689,0.321
Whiting,WI,1218,355,0.291
Monroe Township,NJ,6559,3256,0.496
Wiconisco,PA,6030,2672,0.443
Wild Peach Village,TX,591,7,0.012
Williams,TX,4999,3922,0.785
Williamsville,NY,9141,6189,0.677
Wilson,PA,8635,6472,0.750
Wilsons Mills,NC,1620,984,0.607
Windsor charter Township,MI,2567,693,0.270
Muskegon,MI,3256,2435,0.748
Bridgeport,OH,2585,2329,0.901
Wollochet,WA,8736,3800,0.435
Commerce Charter Township,MI,3463,2110,0.609
Woodbury,CT,7674,2183,0.284
Monroe,MI,8138,6779,0.833
Woodland,CA,3334,1224,0.367
Woodmere,LA,9419,6349,0.674
Milford,CT,8175,2733,0.334
Jefferson,NJ,9994,373,0.037
Woods and Lakes,FL,3134,762,0.243
Woodside,PA,977,679,0.695
Woodville,NY,9318,5909,0.634
Woolwich Township,NJ,3021,1124,0.372
St. Augustine,FL,4624,2467,0.534
Woxall,PA,6516,4172,0.640
Howell Township,NJ,7573,1402,0.185
Wyomissing,PA,3273,2650,0.810
Manalapan Township,NJ,4189,882,0.211
Youens,TX,3626,2046,0.564
Zuni,NM,2115,741,0.350
Acres Green,CO,8472,3715,0.439
Adamston,NJ,8030,1033,0.129
Adamsville,MI,5899,95,0.016
Aladdin City,FL,620,566,0.913
Alondra Park,CA,5885,4851,0.824
Alpine,MI,5457,4041,0.741
Anderson Mill,TX,5807,4097,0.706
Andersonville,MI,8887,1953,0.220
Annapolis Neck,MD,8222,3619,0.440
Anthem,AZ,5298,1477,0.279
Apple Valley,OH,821,257,0.313
Applewood,CO,1684,949,0.564
Archer,IL,988,771,0.780
Archers Corner,NJ,5876,3369,0.573
Arden on the Severn,MD,1122,313,0.279
Ardena,NJ,6067,1498,0.247
Argentine,MI,9380,2635,0.281
Arlington,NC,7165,4991,0.697
Arnold City,PA,781,291,0.373
Arnolds Corner,VA,3756,2800,0.745
Ash Acres,MI,6385,754,0.118
Ashland,NJ,3888,1715,0.441
Ashley Heights,MA,8897,3160,0.355
Au Sable,MI,6342,5240,0.826
August,CA,7481,7227,0.966
Avalon Beach,MI,4321,2864,0.663
Avilla Beach,CA,1093,237,0.217
Avon-By-the-Sea,NJ,5619,272,0.048
Avondale,GA,5768,5561,0.964
Avondale,OH,405,111,0.274
Baileyville,NY,5231,4733,0.905
Bamford,AL,6267,4244,0.677
Bargaintown,NJ,6983,4113,0.589
Barksdale,MD,3806,986,0.259
Barnegat Bay,NJ,2792,2438,0.873
Barnstable Town,MA,2721,372,0.137
Barton Hills,MI,6172,3557,0.576
Bartonsville,MD,7485,7289,0.974
Batesville,SC,4694,4587,0.977
Bauer,MI,705,354,0.502
Bausell and Ellis,TX,4625,3870,0.837
Bawcomville,LA,2458,184,0.075
Bay St Louis,MS,2745,925,0.337
Bayou Country Club,LA,4280,366,0.086
Beach Haven West,NJ,310,47,0.152
Beach View,NJ,7226,5803,0.803
Beadle Lake,MI,3341,3028,0.906
Bear Tavern,NJ,9943,7087,0.713
Beatrice,IN,7380,5445,0.738
Beaver Dam Lake,NY,5315,686,0.129
Beaverdale,IA,8679,4923,0.567
Beckett,NJ,3741,3655,0.977
Beckley,KY,1134,191,0.168
Beebe,WV,9882,420,0.043
Belcoville,NJ,1256,85,0.068
Bella Vista,PA,9726,3652,0.375
Bellerose Terrace,NY,1352,466,0.345
Belleview Heights,FL,3387,1835,0.542
Bells Cross Roads,NC,5467,3073,0.562
Belmont Estates,VA,4197,1988,0.474
Belmont,PA,2684,1218,0.454
Benderville,WI,4369,3291,0.753
Benroy,WA,5054,1019,0.202
Bensville,MD,5499,3311,0.602
Benton Station,ME,3213,2812,0.875
Berkeley,NJ,8711,7454,0.856
Bernstadt,KY,3329,123,0.037
Berryland,NJ,7927,2767,0.349
Bertrand,MI,3391,1177,0.347
Beta,NC,9714,7425,0.764
Bethany,OR,3057,2894,0.947
Bingham,MI,6618,5782,0.874
Bird-in-Hand,PA,6515,4980,0.764
Birdsall,MI,5671,3680,0.649
Black Jack,KY,4660,2103,0.451
Black Point,CA,5291,1213,0.229
Blackhawk,SD,2382,961,0.403
Blacklake,CA,2191,1351,0.617
Blackwells Mills,NJ,1157,892,0.771
Blantyre,NC,8090,1402,0.173
Bliss Corner,MA,4737,1933,0.408
Bloomfield,WI,1999,1973,0.987
Blue Clay Farms,NC,3366,3356,0.997
Blue Hills,CT,5664,1133,0.200
Blue Mountain,AL,7807,1958,0.251
